OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_25913	Bacteria	Acidobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25925	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unassigned	Unassigned	Gp4	Unassigned
ASV_25923	Bacteria	Verrucomicrobia	Spartobacteria	Unassigned	Unassigned	Spartobacteria_genera_incertae_sedis	Unassigned
ASV_25931	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Unassigned	Unassigned
ASV_25929	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	Unassigned
ASV_25926	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	Unassigned
ASV_25928	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Gemmata	Unassigned
ASV_25944	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25936	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Fimbriiglobus	Unassigned
ASV_25938	Eukaryota	Plantae	Liliopsida	Poales	Poaceae	Zea	Unassigned
ASV_25927	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25933	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	Unassigned
ASV_25939	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	Parachlamydia	Unassigned
ASV_25930	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unassigned	Unassigned	Gp3	Unassigned
ASV_25940	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25935	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis	Unassigned
ASV_25924	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned
ASV_25946	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25932	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_25949	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Unassigned	Unassigned
ASV_25945	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_25947	Bacteria	Chloroflexi	Anaerolineae	Aggregatilineales_incertae_sedis	Unassigned	Flexilinea	Unassigned
ASV_25922	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Unassigned
ASV_25920	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Planosporangium	Unassigned
ASV_25918	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_25950	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_25952	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Unassigned
ASV_25934	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodoplanes	Unassigned
ASV_25962	Bacteria	Verrucomicrobia	Spartobacteria	Unassigned	Unassigned	Spartobacteria_genera_incertae_sedis	Unassigned
ASV_25965	Bacteria	candidate_division_WPS-1	Unassigned	Unassigned	Unassigned	WPS-1_genera_incertae_sedis	Unassigned
ASV_25951	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Unassigned
ASV_25942	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Unassigned	Unassigned
